nama_makanan,gambar,kalori,karbohidrat,protein,harga,level_harga,tipe_diet,cluster
Caprese Chicken,https://images.eatthismuch.com/med/386716_GRRemlin_af39aab2-1010-4ecd-a680-3a88888c10a4.jpg,273.0,8.0,33.5,11000.0,Normal,Normal,2
Green salad,https://images.eatthismuch.com/med/33536_erin_m_4aa4d1fe-aaa9-4447-95d1-5fc8458ac5a4.png,70.0,1.4,0.7,8000.0,Murah,Keto,0
Light Raspberry yogurt,https://images.eatthismuch.com/med/34572_erin_m_422caba7-9854-42b5-b34a-0e8d9ec14ab6.png,141.0,16.3,17.8,18000.0,Normal,Normal,2
Grilled cheese sandwich,https://images.eatthismuch.com/med/33505_tabitharwheeler_adc3c380-0b9f-402b-a703-b20f3c2b79a1.jpg,408.0,24.3,13.9,40000.0,Premium,Normal,1
Pesto Scrambled Eggs,https://images.eatthismuch.com/med/38199_Tahirah_Fo_Ferah_3949e6da-6f79-4b53-b411-611e0b4b2b76.jpg,252.0,1.8,13.3,12000.0,Normal,Keto,2
Balsamic Salmon,https://images.eatthismuch.com/med/33755_ldementhon_bf372679-0d68-4fe0-85a3-fe933be694e2.jpg,298.0,3.7,22.7,17000.0,Normal,Keto,2
Black Bean Vegetarian Quesadillas,https://images.eatthismuch.com/med/40729_tabitharwheeler_97ccaeee-4156-4adb-b6de-06dd9b7388fc.jpg,405.0,54.1,20.3,38000.0,Premium,Normal,1
Rooster Bullet Sandwich,https://images.eatthismuch.com/med/34829_erin_m_7fba1706-ffe0-4e1f-97f9-607f4b4c2e47.png,525.0,25.3,36.9,39000.0,Premium,Normal,1
Pasta with Fresh Tomato Sauce,https://images.eatthismuch.com/med/45255_tabitharwheeler_310fe06c-7de2-439c-8e84-84bb72ce647a.jpg,245.0,48.9,10.4,14000.0,Normal,Normal,2
Asparagus Parmesan,https://images.eatthismuch.com/med/36709_erin_m_5b830503-ae80-4f1a-924e-235d6fcef621.png,184.0,3.9,6.6,15000.0,Normal,Keto,2
Brown Sugar Salmon,https://images.eatthismuch.com/med/34750_tabitharwheeler_507de9c2-2995-4ee0-83b9-93be6a09cfad.jpg,397.0,9.4,35.1,20000.0,Normal,Normal,1
Chicken Ranch Tacos,https://images.eatthismuch.com/med/56904_erin_m_b072000f-66a5-4f8d-89c9-d83b116d66ec.png,354.0,26.9,23.0,20000.0,Normal,Normal,1
Berry Granola Parfait,https://images.eatthismuch.com/med/33527_HillOK444_9de5ef7f-c96f-4699-b4b5-35761fef4554.png,430.0,53.5,21.2,35000.0,Premium,Normal,1
Cheese Meatballs,https://images.eatthismuch.com/med/34791_erin_m_a79461a2-4b1d-4f7c-a516-ec8ac449d784.png,372.0,1.2,24.3,26000.0,Mahal,Keto,1
Spinach and Turkey Wrap,https://images.eatthismuch.com/med/906881_tabitharwheeler_577cba81-a93a-477f-96c7-ddf248bd1a7a.jpg,290.0,27.3,15.4,15000.0,Normal,Normal,2
Almond Milk Cocoa Protein Shake,https://images.eatthismuch.com/med/254479_ldementhon_6d8ef880-45b5-403b-8a85-f7d912c262d6.png,241.0,27.6,26.0,18000.0,Normal,Normal,2
White Rice,https://images.eatthismuch.com/med/45206_tabitharwheeler_69217534-fb96-49f3-8192-49cd85b35d39.jpg,338.0,74.0,6.6,25000.0,Mahal,Normal,1
Classic Fruit Salad,https://images.eatthismuch.com/med/203491_tabitharwheeler_2b3c3114-c5a6-4d9f-8176-a162d594e832.jpg,192.0,48.3,3.6,15000.0,Normal,Vegetarian,2
Cucumbers and Egg Salad,https://images.eatthismuch.com/med/36619_erin_m_d48aceae-7364-40ff-aeab-4df11ef8ed72.png,338.0,13.5,15.0,28000.0,Mahal,Vegetarian,1
Zucchini Frittata,https://images.eatthismuch.com/med/56825_tabitharwheeler_13236531-3e47-4e16-b8fb-ee216f5908b7.jpg,201.0,6.6,15.4,17000.0,Normal,Normal,2
Veggie & chicken salad,https://images.eatthismuch.com/med/34583_erin_m_3ada8a55-8f8a-4cc0-a7d7-8e303d201e6b.png,294.0,21.1,19.4,17000.0,Normal,Vegetarian,2
Roast Teriyaki Broccoli,https://images.eatthismuch.com/med/39677_erin_m_8de3c102-2999-495a-842b-18bcc8a9b938.png,69.0,7.7,3.0,9000.0,Murah,Normal,0
Baked Chicken,https://images.eatthismuch.com/med/33504_erin_m_d4c293ba-f79c-4b09-a666-d570d4bce54a.png,491.0,1.0,53.5,35000.0,Premium,Keto,1
Spicy Chicken Fajita,https://images.eatthismuch.com/med/34077_erin_m_dfdd51aa-b93b-40fd-b6de-05eb11f7ce8a.png,453.0,29.3,38.4,40000.0,Premium,Normal,1
Tropical Fruit Smoothie,https://images.eatthismuch.com/med/36629_MikeOcho_8385bb6a-a4b7-4cf7-a023-f470b983e5cc.png,335.0,72.3,14.3,29000.0,Mahal,Normal,1
Arugula Chicken Salad,https://images.eatthismuch.com/med/254550_kylemek_2ca44c17-f7d3-4397-b567-9f19d65b67d1.png,560.0,18.0,56.3,37000.0,Premium,Vegetarian,1
Garlic Roasted Brussels Sprouts,https://images.eatthismuch.com/med/412930_tabitharwheeler_adc9c1b8-466f-4d89-aee8-c29a9a59383b.jpg,162.0,8.9,3.2,16000.0,Normal,Normal,2
Feta-Stuffed Hamburgers,https://images.eatthismuch.com/med/36697_erin_m_d01752c6-ab64-4649-a766-9ee1727438eb.png,388.0,1.8,24.8,29000.0,Mahal,Keto,1
Easy Olive Oil Tomato and Basil Pasta,https://images.eatthismuch.com/med/45256_erin_m_194bb3ad-c126-4b71-a617-52aab09e6196.png,324.0,44.0,8.7,29000.0,Mahal,Normal,1
Scrambled Eggs with Bacon and Mushrooms,https://images.eatthismuch.com/med/717793_tabitharwheeler_4fa4cc6f-c5be-4b78-af16-c8767a9c9079.jpg,264.0,1.7,17.6,20000.0,Normal,Keto,2
Beer Grilled Shrimp,https://images.eatthismuch.com/med/36718_erin_m_a1b65a66-4f15-400d-93ce-b12dbbce4469.png,162.0,5.4,23.7,17000.0,Normal,Normal,2
Creamy Mango Smoothie,https://images.eatthismuch.com/med/36615_tabitharwheeler_c824607d-afee-4fc8-9b7e-9377e60cda30.jpg,141.0,24.2,6.9,14000.0,Normal,Normal,2
High Potassium Fruit Salad,https://images.eatthismuch.com/med/213586_i_heart_tjs_bca8078d-6835-4e86-81b1-4a2fafe8b69f.jpg,62.0,10.6,5.2,9000.0,Murah,Vegetarian,0
Sandwiches,https://images.eatthismuch.com/med/386790_tabitharwheeler_2a1f4242-8d72-4404-a438-70395eda3d6c.jpg,344.0,32.7,16.2,20000.0,Normal,Normal,2
Baked Chicken Breasts,https://images.eatthismuch.com/med/303942_kgines_59c79a1d-c922-4a0f-bbd6-68e7bd24b22c.png,347.0,0.9,53.3,36000.0,Premium,Keto,1
Chocolate Mousse II,https://images.eatthismuch.com/med/45262_i_heart_tjs_6d8b0012-ffb4-4259-902f-fd934b0fb482.jpg,166.0,16.8,4.7,17000.0,Normal,Normal,2
Steak and Eggs Hash,https://images.eatthismuch.com/med/34091_erin_m_9822354e-b352-4193-ab63-79ef0b8e1202.png,517.0,20.2,31.7,32000.0,Premium,Normal,1
Baked Chicken Breast,https://images.eatthismuch.com/med/948571_tabitharwheeler_9b5e3731-6de2-4463-a6c1-923bbebc90d0.jpg,153.0,1.9,27.6,11000.0,Normal,Keto,2
Curry Cheddar Scrambled Eggs,https://images.eatthismuch.com/med/36623_tabitharwheeler_d3580db6-5da7-40c8-87f5-8aa4005353dd.jpg,219.0,1.2,16.0,15000.0,Normal,Keto,2
Tasty Turkey & Spinach Omelet,https://images.eatthismuch.com/med/56672_erin_m_550f5a36-6c6d-4f07-98ea-d3adc28c5392.png,423.0,18.2,47.2,26000.0,Mahal,Normal,1
Spicy Basil Lemon Chicken,https://images.eatthismuch.com/med/282139_hlapla1_ac84a44c-2912-463e-a691-ac4435d55771.png,283.0,7.4,39.4,12000.0,Normal,Normal,2
Easy Fried Spinach,https://images.eatthismuch.com/med/36661_erin_m_972176e5-a606-40d6-91ae-24732d060d49.png,175.0,4.8,3.0,11000.0,Normal,Keto,2
Cinnamon Apple Delight,https://images.eatthismuch.com/med/46501_i_heart_tjs_406d2f1f-f297-49d0-ba4f-c12da8dd710e.jpg,224.0,38.6,18.0,10000.0,Normal,Normal,2
Raspberry Chia Seed Pudding,https://images.eatthismuch.com/med/337828_tabitharwheeler_cc3d9411-9db3-4148-9363-457a90bef6c1.jpg,305.0,28.6,8.7,37000.0,Premium,Normal,1
Black Beans and Rice,https://images.eatthismuch.com/med/34526_erin_m_bf890685-569d-4053-bfbc-56ff1a32aada.png,311.0,56.2,14.0,32000.0,Premium,Normal,1
Chocolate Banana Protein Muffins,https://images.eatthismuch.com/med/34765_i_heart_tjs_d4f88626-735d-49bf-8e83-0da65049e368.jpg,160.0,28.2,8.0,13000.0,Normal,Normal,2
Zucchini Spears with Parmesan,https://images.eatthismuch.com/med/906095_tabitharwheeler_44f532d2-3f2b-471e-9a02-4a55b7064958.jpg,43.0,5.2,3.4,9000.0,Murah,Normal,0
Garlic Green Beans with Tofu,https://images.eatthismuch.com/med/34875_erin_m_80f9d977-1813-4094-b223-9a2408152607.png,270.0,17.9,13.3,19000.0,Normal,Vegan,2
Roast Beef and Cheddar Sandwich,https://images.eatthismuch.com/med/906002_jamiemsrd_5d997799-5d46-411a-9d57-5d69e1cc88df.jpg,450.0,25.4,41.3,22000.0,Mahal,Normal,1
Peanut Butter Chocolate Protein Balls,https://images.eatthismuch.com/med/906080_elm333_6ad80a81-25d5-4414-8d99-907a216e34ad.jpg,127.0,13.5,8.0,12000.0,Normal,Normal,2
Mexican chickpea salad,https://images.eatthismuch.com/med/34554_tabitharwheeler_82162386-6ae5-46cb-8535-0a20cecb72ad.jpg,136.0,18.7,6.3,11000.0,Normal,Vegetarian,2
Scrambled Eggs with Onion Flakes,https://images.eatthismuch.com/med/906179_tabitharwheeler_a525205c-6424-4dd6-b16f-4dafd7439492.jpg,181.0,1.2,15.8,16000.0,Normal,Keto,2
Onion and Tomato Omelet,https://images.eatthismuch.com/med/412942_tabitharwheeler_cd974a09-3fa3-467f-86ef-a14ff94aa220.jpg,300.0,4.4,14.7,12000.0,Normal,Keto,2
Goat Cheese and Spinach Turkey Burgers,https://images.eatthismuch.com/med/36731_tabitharwheeler_2da6d510-edd9-4064-a35e-7e9dc1989aaa.jpg,396.0,20.8,40.5,33000.0,Premium,Normal,1
Panfried steak with garlic butter,https://images.eatthismuch.com/med/33535_erin_m_7a05b91d-4e78-4067-ba72-b02fb234e649.png,728.0,1.1,39.4,25000.0,Mahal,Keto,1
"Brownies Berprotein,https://m.ftscrt.com/static/recipe/71012335-8a65-4211-85bc-fc98961495fb.jpg,184,""11,88"",19.29,18000,Normal,Normal",,,,,,,,0
"Telur Dadar Sayur,https://m.ftscrt.com/static/recipe/17b0ac40-49b8-4ec5-997f-30ff3df81994.jpg,268,""13,79"",7.58,14000,Normal,Vegetarian",,,,,,,,0
"Brownies,https://m.ftscrt.com/static/recipe/38cea3a0-db69-4b43-82a9-6a551b83b5a7.jpg,79,""8,63"",1.6,7000,Murah,Normal",,,,,,,,0
"Kue Wortel Labu,https://m.ftscrt.com/static/recipe/682cdaf2-d7ee-46d7-9b4e-3100ea8bdb14.jpg,288,""31,41"",4.34,17000,Normal,Normal",,,,,,,,0
"Kue Kering Coklat Chip,https://m.ftscrt.com/static/recipe/4a900a3f-b902-4d9b-a5a7-21997f0f86fd.jpg,139,""18,15"",1.42,17000,Normal,Normal",,,,,,,,0
"Kue Pisang,https://m.ftscrt.com/static/recipe/cafe23c7-eaa8-4868-bd24-e4aa388d52bd.jpg,124,""26,15"",2.99,12000,Normal,Normal",,,,,,,,0
Pancake Pisang,https://m.ftscrt.com/static/recipe/a23aab18-6da1-46b5-bbbe-743176660a2f.jpg,297.0,5.0,39.11,15000.0,Normal,Normal,1
"Roti Pisang Oat,https://m.ftscrt.com/static/recipe/02cfcf50-184b-4f9f-b609-6ebb2d30ce8d.jpg,193,""29,77"",4.28,14000,Normal,Normal",,,,,,,,0
"Donat,https://m.ftscrt.com/static/recipe/06e11583-e166-4c21-a28b-9a35b6148cd9.jpg,106,""0,1"",19.3,19000,Normal,Keto",,,,,,,,0
"Muffin Oat Pisang,https://m.ftscrt.com/static/recipe/96b4491e-3694-4661-bd18-f431678d4048.jpg,136,""23,62"",4.02,15000,Normal,Normal",,,,,,,,0
"Banana Bread Oats,https://m.ftscrt.com/static/recipe/d99b4496-5626-4249-b444-2e67991da406.jpg,247,""32,96"",8.84,16000,Normal,Normal",,,,,,,,0
"Bilah Energi Oatmeal Cokelat,https://m.ftscrt.com/static/recipe/28134fbc-6512-4de0-8adb-bd77620cf2ff.jpg,92,""13,29"",2.06,5000,Murah,Normal",,,,,,,,0
"Kue Pisang,https://m.ftscrt.com/static/recipe/23b191a3-ee69-4284-b6a0-2f95dbb94b79.jpg,118,""19,31"",6.3,16000,Normal,Normal",,,,,,,,0
"Mie Shirataki Goreng,https://m.ftscrt.com/static/recipe/abd8c1bf-00db-4577-bef7-37e806f6a641.jpg,175,""19,04"",9.13,20000,Normal,Normal",,,,,,,,0
"Kue Gandum Pisang,https://m.ftscrt.com/static/recipe/892f0def-c5e6-4a4b-a222-a4360823b5bf.jpg,103,""19,26"",3.18,12000,Normal,Normal",,,,,,,,0
"Saus Cokelat,https://m.ftscrt.com/static/recipe/c64d9778-3992-4423-ab15-881ac74e3db5.jpg,78,""9,56"",2.12,7000,Murah,Normal",,,,,,,,0
"Sandwich Telur Dadar,https://m.ftscrt.com/static/recipe/687f35fe-9dd8-4a41-ab14-216a6bb82647.jpg,306,""7,6"",36.48,31000,Premium,Normal",,,,,,,,0
"Banana Oats Coklat,https://m.ftscrt.com/static/recipe/1c8d84c8-e1fe-4f41-a219-748b9855a23d.jpg,314,""45,52"",12.27,34000,Premium,Normal",,,,,,,,0
"Tumis Kubis,https://m.ftscrt.com/static/recipe/17dcae94-b8d0-4236-bb60-e9047d920177.jpg,89,""19,17"",3.4,6000,Murah,Normal",,,,,,,,0
"Jus Hijau,https://m.ftscrt.com/static/recipe/6643bb15-61b2-4756-b693-8dea455dd8b3.jpg,61,""15,56"",1.26,6000,Murah,Normal",,,,,,,,0
"Kue Oat Pisang,https://m.ftscrt.com/static/recipe/228c7014-d4fd-4734-b544-730d107e3c29.jpg,153,""23,24"",4.04,12000,Normal,Normal",,,,,,,,0
"Kue Pisang Kukus,https://m.ftscrt.com/static/recipe/ca663dfd-9a6b-481c-b542-8b6ea05fc64a.jpg,181,""21,89"",4.32,15000,Normal,Normal",,,,,,,,0
"Ayam dengan Jagung dan Kacang,https://m.ftscrt.com/static/recipe/52a2791c-02c5-4e19-9e11-a427b4c09d1d.jpg,200,""4,6"",18.28,14000,Normal,Keto",,,,,,,,0
"Sop Tulang Iga Sapi,https://m.ftscrt.com/static/recipe/a45f85bd-08a4-44df-b270-dd8125b91e21.jpg,156,""6,75"",10.57,18000,Normal,Normal",,,,,,,,0
"Ikan Tongkol Asam Pedas,https://m.ftscrt.com/static/recipe/62115826-a37b-4023-bb93-ca910f630ac2.jpg,100,""1,9"",18.39,19000,Normal,Keto",,,,,,,,0
"Nasi Goreng Sayuran,https://m.ftscrt.com/static/recipe/87219099-5033-4aa1-ab15-42c08f893387.jpg,416,""70,19"",15.58,29000,Mahal,Vegetarian",,,,,,,,0
"Rebusan Tahu dengan Kecambah,https://m.ftscrt.com/static/recipe/6dc70086-7a21-4ce8-92fc-99919b3cc6d1.jpg,61,""3,65"",4.44,6000,Murah,Keto",,,,,,,,0
"Roti Pisang Havermut,https://m.ftscrt.com/static/recipe/3dc75459-6839-4198-af8a-0b38538289c7.jpg,232,""39,64"",7.3,15000,Normal,Normal",,,,,,,,0
Goreng Labu dengan Jagung,https://m.ftscrt.com/static/recipe/9de0f46b-8a8b-4637-ab55-97cee741b46a.jpg,121.0,1.0,19.07,13000.0,Normal,Keto,2
Roti Pisang dan Keju,https://m.ftscrt.com/static/recipe/afe8e6f9-9bbd-4e95-98e5-e66c7761b311.jpg,280.0,5.0,4.0,13000.0,Normal,Normal,2
"Pancake Protein Oat,https://m.ftscrt.com/static/recipe/f9126ab1-2d0c-43f3-b3bc-b71791eae36e.jpg,86,""8,3"",8.57,6000,Murah,Normal",,,,,,,,0
"Brownies Oatmeal,https://m.ftscrt.com/static/recipe/6294e676-78fc-40fb-a3d0-91c0fa26b239.jpg,165,""26,59"",4.4,13000,Normal,Normal",,,,,,,,0
"Mangkuk Sushi Salmon,https://m.ftscrt.com/static/recipe/99c55dcc-b492-4c67-b37a-b48850cda670.jpg,792,""7,56"",22.58,24000,Mahal,Normal",,,,,,,,0
"Salad Sayur dengan Ayam, Tahu, dan Tempe,https://m.ftscrt.com/static/recipe/bc7164ab-3020-45ba-8316-2e1858b1cdd7.jpg,195,""9,58"",18.78,16000,Normal,Vegetarian",,,,,,,,0
"Bihun dengan Sayuran,https://m.ftscrt.com/static/recipe/60ce6f52-6fd4-4057-941c-b96adbcfd67c.jpg,242,""47,79"",4.35,17000,Normal,Vegetarian",,,,,,,,0
"Nasi Pizza dengan Ayam dan Sayuran,https://m.ftscrt.com/static/recipe/5fda7cad-57c6-4c75-a192-59d17405dc2c.jpg,234,""0,5"",19.4,20000,Normal,Keto",,,,,,,,0
"Kari Tuna,https://m.ftscrt.com/static/recipe/31e98b8e-c8a1-4fee-9fda-811b9f6b4bde.jpg,76,""2,24"",13.63,10000,Normal,Keto",,,,,,,,0
"Toge Telur,https://m.ftscrt.com/static/recipe/feb3a055-9e3c-4740-a8f8-83455953a5f2.jpg,252,""26,73"",21.9,17000,Normal,Normal",,,,,,,,0
"Smoothie Buah Naga dan Pisang,https://m.ftscrt.com/static/recipe/628f21a7-c977-4b09-aee5-c6e8d32b6feb.jpg,280,""60,4"",4.98,13000,Normal,Normal",,,,,,,,0
"Bolu Oatmeal Pisang Cokelat,https://m.ftscrt.com/static/recipe/ea6ede7e-e208-4388-96c6-e063e8676ae8.jpg,106,""18,69"",2.96,20000,Normal,Normal",,,,,,,,0
"Bolu Tape,https://m.ftscrt.com/static/recipe/5d9f2847-9921-4abf-a285-8b711e62be43.jpg,233,""31,3"",4.27,14000,Normal,Normal",,,,,,,,0
"Ayam Rica Rica,https://m.ftscrt.com/static/recipe/67c86617-b111-4812-94df-6e196542c596.jpg,219,""5,88"",17.83,17000,Normal,Normal",,,,,,,,0
"Oat Panekuk,https://m.ftscrt.com/static/recipe/171ebe49-d320-4eb6-9730-1619d3a136f6.jpg,54,""7,1"",2.44,10000,Normal,Normal",,,,,,,,0
"Sawi Isi Ayam Udang,https://m.ftscrt.com/static/recipe/1016de03-9802-40d2-bf4b-1b1ef6784a1c.jpg,131,""9,82"",12.51,10000,Normal,Normal",,,,,,,,0
"Tumis Brokoli,https://m.ftscrt.com/static/recipe/2db32a6d-972a-426b-96b5-d7359424ed12.jpg,79,""17,22"",3.49,9000,Murah,Normal",,,,,,,,0
"Omlete Tahu Telur,https://m.ftscrt.com/static/recipe/ee89885c-8bf7-440a-872e-b47c2063843f.jpg,232,""2,48"",14.26,11000,Normal,Keto",,,,,,,,0
"Tumis Buncis Tempe,https://m.ftscrt.com/static/recipe/a85d2fdc-037e-4bee-826d-fe7b186bbd25.jpg,111,""9,9"",9.5,18000,Normal,Vegan",,,,,,,,0
"Muesli Simple,https://m.ftscrt.com/static/recipe/4459fd35-19db-4855-b723-894f553ec259.jpg,255,""5,8"",42.21,19000,Normal,Normal",,,,,,,,0
Jus Bokcoy,https://m.ftscrt.com/static/recipe/2779ccea-2b1f-4f8a-b913-954c1f3a8985.jpg,94.0,2.0,24.57,8000.0,Murah,Keto,2
"Jus,https://m.ftscrt.com/static/recipe/63392a2e-5241-45c8-a874-22d0d4d3cd25.jpg,35,""8,58"",0.93,10000,Normal,Normal",,,,,,,,0
"Sandwich,https://m.ftscrt.com/static/recipe/6b4d7f9a-b598-4347-aa8e-744550ca847c.jpg,467,""6,1"",38.12,38000,Premium,Normal",,,,,,,,0
"Tumis Tempe Labu Kacang Panjang,https://m.ftscrt.com/static/recipe/baba9ac3-cdb9-4f9e-a4cc-dee93bce7057.jpg,90,""7,73"",7.69,9000,Murah,Vegan",,,,,,,,0
"Tumis Kacang Panjang dan Tauge,https://m.ftscrt.com/static/recipe/f9de6871-91cd-488b-a936-24b10b620606.jpg,90,""2,6"",6.11,8000,Murah,Keto",,,,,,,,0
"Beef Patty,https://m.ftscrt.com/static/recipe/0b6a6087-907b-4b64-a692-c405b1c31153.jpg,230,""0,2"",6.67,14000,Normal,Keto",,,,,,,,0
"Banana Oat Cookies,https://m.ftscrt.com/static/recipe/dc63ff91-5ee7-44c1-8522-6f90335d4f88.jpg,120,""25,29"",2.57,20000,Normal,Normal",,,,,,,,0
"Sawi Tumis,https://m.ftscrt.com/static/recipe/cdf3a6c3-0d2e-4b27-9d55-2a0f790347ff.jpg,53,""2,2"",9.09,10000,Normal,Keto",,,,,,,,0
"Tumis Labu Siam,https://m.ftscrt.com/static/recipe/14038ad5-00e1-4e1a-bae2-f6dc45e0c713.jpg,61,""4,15"",0.79,9000,Murah,Keto",,,,,,,,0
"Tahu Telur,https://m.ftscrt.com/static/recipe/26b7f833-1306-4400-aa9e-073c82593a0e.jpg,203,""3,7"",14.7,14000,Normal,Keto",,,,,,,,0
"Chia Seed Yakult,https://m.ftscrt.com/static/recipe/ff24feff-7337-4da6-b94e-11b89d03f5f1.jpg,154,""27,62"",3.64,14000,Normal,Normal",,,,,,,,0
"Dimsum Ayam Udang,https://m.ftscrt.com/static/recipe/3706ad65-28e5-420e-85c3-8726c33d1d32.jpg,50,""4,26"",3.7,6000,Murah,Keto",,,,,,,,0
"Oat Cookies,https://m.ftscrt.com/static/recipe/5dc5dc35-308a-46a9-a3e7-1e130b98e87b.jpg,24,""0,5"",4.66,8000,Murah,Keto",,,,,,,,0
"Bakso Ayam Oat,https://m.ftscrt.com/static/recipe/7115392f-0cb2-45cc-a831-47c62885c2ba.jpg,197,""15,26"",19.25,11000,Normal,Normal",,,,,,,,0
"Dada Ayam Suwir,https://m.ftscrt.com/static/recipe/96477924-0da3-447d-b309-dc6323c9ae4a.jpg,283,""22,34"",18.37,12000,Normal,Normal",,,,,,,,0
"Tumis Jamur Daging Brokoli,https://m.ftscrt.com/static/recipe/2dbe28b4-3cc3-4b27-9af4-eee3c178fcad.jpg,79,""7,38"",8.39,5000,Murah,Normal",,,,,,,,0
Kimchi Jiggae,https://m.ftscrt.com/static/recipe/ad0a84ed-9643-45d5-b50c-452542def1ab.jpg,210.0,5.0,17.03,13000.0,Normal,Normal,2
"Bakso Kentang Fettuccine,https://m.ftscrt.com/static/recipe/790ff7ca-0a72-4792-89bd-ecc6a652a4b0.jpg,343,""60,41"",11.64,26000,Mahal,Normal",,,,,,,,0
"Healthy Oatmeal Bar,https://m.ftscrt.com/static/recipe/6b13981a-a595-4373-81c2-4e373439614e.jpg,94,""13,67"",2.84,9000,Murah,Normal",,,,,,,,0
"Oseng Cabe Tahu Tempe,https://m.ftscrt.com/static/recipe/cea1375a-fe97-474b-bfd1-06c7d4fd2b13.jpg,330,""13,5"",40.29,25000,Mahal,Vegan",,,,,,,,0
"Smoothie Buah Naga,https://m.ftscrt.com/static/recipe/d83418c1-ac84-42fa-a9a6-fc4b77004761.jpg,138,""20,28"",3.43,19000,Normal,Normal",,,,,,,,0
"Teriyaki Beef,https://m.ftscrt.com/static/recipe/a4c414f5-e832-435f-8e53-8a28a7c2f037.jpg,366,""15,14"",26.71,22000,Mahal,Normal",,,,,,,,0
"Tumis Sayur dengan Telur,https://m.ftscrt.com/static/recipe/4f548523-4d8b-4d36-b03f-0c5735169f9e.jpg,379,""38,57"",13.47,33000,Premium,Vegetarian",,,,,,,,0
"Pancake Pisang,https://m.ftscrt.com/static/recipe/8f394150-c0ef-468d-bd73-675792cdc67b.jpg,51,""0,7"",10.89,7000,Murah,Keto",,,,,,,,0
"Aglio Olio,https://m.ftscrt.com/static/recipe/82f06889-2e66-4ded-a233-81ff7d6863a2.jpg,292,""33,46"",19.2,10000,Normal,Normal",,,,,,,,0
"Sawi Tumis Tauge,https://m.ftscrt.com/static/recipe/9678b8f6-279f-402f-93ad-b4b7ac8a4c03.jpg,91,""9,38"",4.84,9000,Murah,Normal",,,,,,,,0
"Bolognese Wrap,https://m.ftscrt.com/static/recipe/c0d5ca6f-855d-4bbd-b294-8b17ead6e54d.jpg,242,""4,9"",29.08,16000,Normal,Keto",,,,,,,,0
"Rebusan Ayam Saus Tiram,https://m.ftscrt.com/static/recipe/1501c581-d0d2-45cb-8d5f-d9dc2429e094.jpg,329,""21,29"",29.87,35000,Premium,Normal",,,,,,,,0
"Tumis Kecambah,https://m.ftscrt.com/static/recipe/dec33b85-e1e7-45d5-9708-f407673d4287.jpg,95,""1,9"",8.14,8000,Murah,Keto",,,,,,,,0
"Tumis Sayuran,https://m.ftscrt.com/static/recipe/24c9d481-ed55-4da8-9e6a-8bf9e1937d14.jpg,80,""18,12"",3.48,9000,Murah,Vegetarian",,,,,,,,0
"Bungkus Salad Ayam,https://m.ftscrt.com/static/recipe/32852371-32f7-4ed8-8a3d-84ab80b5098e.jpg,382,""27,1"",33.22,35000,Premium,Vegetarian",,,,,,,,0
Ayam Goreng Bumbu Kuning,https://m.ftscrt.com/static/recipe/1584852f-c454-4a74-bedd-5990048ad453.jpg,486.0,0.0,2.5,21000.0,Mahal,Keto,2
"Tahu Lumpia,https://m.ftscrt.com/static/recipe/544de650-4934-4528-b236-e183265a968a.jpg,43,""5,28"",2.72,5000,Murah,Normal",,,,,,,,0
"Sup Daging Selada Air,https://m.ftscrt.com/static/recipe/357c500a-d89c-4045-ad20-ba5ed87a7d77.jpg,193,""8,91"",17.07,20000,Normal,Normal",,,,,,,,0
"Sambal Bawang,https://m.ftscrt.com/static/recipe/d198bade-d96f-4cfd-b17d-c0f97524b241.jpg,107,""7,12"",1.4,10000,Normal,Normal",,,,,,,,0
"Brokoli Bawang Putih,https://m.ftscrt.com/static/recipe/09ebf138-010f-461b-8857-36d774e90964.jpg,190,""15,3"",8.03,19000,Normal,Normal",,,,,,,,0
"Spring Roll Ayam,https://m.ftscrt.com/static/recipe/eb63a2e9-07c5-4670-9ddd-3f5e668eb6d6.jpg,119,""16,86"",4.11,16000,Normal,Normal",,,,,,,,0
"Suwir Ayam Creamy,https://m.ftscrt.com/static/recipe/3b6be690-fd29-4763-ac82-f9c1a1482aa9.jpg,319,""9,5"",44.93,21000,Mahal,Normal",,,,,,,,0
"Ampyang,https://m.ftscrt.com/static/recipe/4cf1d9c1-92f1-4a67-9452-ddf951404cee.jpg,132,""1,2"",14.47,12000,Normal,Keto",,,,,,,,0
"Semur Tahu,https://m.ftscrt.com/static/recipe/4f948cfc-5dc3-4448-9dd5-a4fe7fa1c8de.jpg,212,""32,8"",5.84,15000,Normal,Normal",,,,,,,,0
"Tumis Tahu Telur Wortel,https://m.ftscrt.com/static/recipe/bcd9772a-1e28-40c4-b414-6c96127409bb.jpg,252,""39,01"",16.88,11000,Normal,Normal",,,,,,,,0
"Bagel,https://m.ftscrt.com/static/recipe/d67fc8b7-0ee1-4717-b81d-b557c840570d.jpg,233,""0,2"",46.76,18000,Normal,Keto",,,,,,,,0
"Tahu Goreng Telur,https://m.ftscrt.com/static/recipe/3f634a4d-0188-4752-b68d-37ef262910d3.jpg,188,""6,92"",4.51,15000,Normal,Normal",,,,,,,,0
Sup Telur Pedas,https://m.ftscrt.com/static/recipe/aaf9410c-2cf7-4530-ba5f-c9a7dc34129c.jpg,382.0,5.0,17.04,22000.0,Mahal,Normal,1
